,pointid,server,serve,serve_x,serve_y,server_shot_type,server_shot_hand,server_x,server_y,returner_x,returner_y,returner_shot_type,returner_shot_hand,num_strokes,is_game_point,is_break_point,winner
21,25,Nadal,second,3.19,16.16,topspin,forehand,4.6,-0.94,2.24,24.45,topspin,backhand,3,0,0,Djokovic
22,26,Nadal,first,8.4,16.16,serve,forehand,3.91,-0.78,11.36,24.79,return,backhand,2,0,0,Nadal
23,27,Nadal,first,4.53,15.92,topspin,forehand,6.96,8.13,4.06,24.45,slice,backhand,3,0,0,Nadal
24,28,Nadal,second,5.88,16.48,topspin,forehand,0.73,-1.06,8.3,22.17,topspin,backhand,11,0,0,Djokovic
25,29,Nadal,second,3.68,16.56,topspin,backhand,7.04,-0.32,3.4,16.67,volley,forehand,6,0,0,Nadal
26,30,Nadal,first,7.76,16.0,serve,forehand,4.05,-0.65,9.5,25.37,return,backhand,2,1,0,Nadal
27,31,Djokovic,first,8.23,6.96,volley,backhand,6.94,16.51,7.06,8.46,smash,backhand,8,0,0,Djokovic
28,32,Djokovic,second,2.61,11.58,topspin,forehand,6.25,24.68,1.3,-1.53,topspin,forehand,14,0,0,Djokovic
29,33,Djokovic,second,5.31,5.79,topspin,backhand,5.62,23.12,2.18,-0.22,topspin,forehand,4,0,0,Djokovic
30,34,Djokovic,first,1.86,8.77,topspin,backhand,6.34,25.61,0.71,0.12,topspin,forehand,3,1,0,Djokovic
31,35,Nadal,second,7.08,6.81,topspin,backhand,5.58,22.37,-1.25,0.05,topspin,backhand,7,0,0,Nadal
32,36,Nadal,second,1.83,8.0,topspin,backhand,2.76,26.82,7.69,1.25,topspin,forehand,16,0,0,Nadal
33,37,Nadal,second,5.3,6.36,topspin,forehand,3.21,24.79,6.87,-1.5,topspin,forehand,4,0,0,Nadal
34,38,Nadal,first,4.13,7.48,topspin,forehand,2.72,24.33,2.93,0.19,return,forehand,3,1,0,Nadal
35,39,Djokovic,second,1.4,16.64,topspin,forehand,2.98,0.09,0.53,25.49,slice,backhand,11,0,0,Nadal
36,40,Djokovic,first,4.74,15.53,topspin,forehand,6.53,-1.28,2.9,24.22,topspin,forehand,6,0,0,Djokovic
37,41,Djokovic,second,1.68,16.32,topspin,backhand,2.88,0.68,6.16,26.33,topspin,forehand,11,0,0,Djokovic
38,42,Djokovic,first,5.08,16.8,topspin,forehand,5.48,-0.97,2.6,25.84,topspin,backhand,22,0,0,Djokovic
39,43,Djokovic,first,0.86,16.0,topspin,forehand,8.71,1.18,4.95,27.07,topspin,forehand,4,1,0,Djokovic
40,44,Nadal,first,1.63,16.26,volley,forehand,3.2,4.53,8.6,25.97,topspin,backhand,5,0,0,Djokovic
41,45,Nadal,first,8.69,17.43,topspin,forehand,6.13,3.91,11.03,26.21,return,backhand,3,0,0,Nadal
42,46,Nadal,first,4.63,17.09,serve,forehand,5.46,-0.39,4.03,26.45,return,backhand,2,0,0,Nadal
43,47,Nadal,second,7.35,16.26,topspin,forehand,2.37,1.59,9.57,27.57,topspin,backhand,4,0,0,Djokovic
45,49,Nadal,second,8.08,15.54,topspin,forehand,3.52,0.57,9.82,22.37,topspin,backhand,3,1,0,Nadal
46,50,Djokovic,second,2.05,16.84,topspin,forehand,4.15,0.71,8.93,29.41,topspin,forehand,4,0,0,Djokovic
47,51,Djokovic,second,6.16,15.85,topspin,forehand,2.52,-1.59,7.73,26.33,topspin,forehand,4,0,0,Djokovic
49,53,Djokovic,first,5.13,16.67,topspin,forehand,4.38,1.94,0.23,25.61,topspin,backhand,4,1,0,Djokovic
50,54,Nadal,first,5.24,6.79,serve,forehand,3.74,23.01,6.02,-1.16,return,backhand,2,0,0,Nadal
51,56,Nadal,first,7.76,6.49,volley,forehand,4.43,19.97,1.79,6.14,topspin,backhand,19,0,0,Djokovic
52,57,Nadal,second,3.14,7.48,topspin,forehand,6.12,24.56,1.62,0.5,topspin,backhand,3,0,0,Nadal
53,58,Nadal,second,7.34,6.44,topspin,forehand,4.17,26.57,1.97,-0.12,topspin,backhand,7,0,0,Nadal
54,59,Nadal,first,1.6,7.91,serve,forehand,6.02,24.68,-1.78,1.71,return,backhand,2,1,0,Nadal
55,60,Djokovic,second,5.9,5.94,serve,forehand,2.75,24.11,8.21,-2.22,return,forehand,2,0,0,Djokovic
56,61,Djokovic,first,2.89,9.56,topspin,backhand,5.34,26.94,5.77,1.22,topspin,backhand,5,0,0,Nadal
57,62,Djokovic,first,5.0,5.94,serve,forehand,2.97,23.55,6.23,-2.13,return,forehand,2,0,0,Djokovic
58,63,Djokovic,first,4.92,10.41,slice,forehand,4.18,30.37,5.01,3.1,topspin,forehand,6,0,0,Djokovic
60,65,Nadal,second,3.95,17.35,topspin,backhand,8.9,-0.78,3.61,23.12,topspin,forehand,15,0,0,Djokovic
61,66,Nadal,first,8.08,17.01,topspin,forehand,9.4,-1.13,1.14,26.82,slice,forehand,5,0,0,Djokovic
63,68,Nadal,first,7.63,16.01,topspin,backhand,7.23,-1.0,9.52,25.14,return,backhand,3,0,0,Djokovic
64,70,Djokovic,second,1.24,16.76,topspin,forehand,10.16,-0.19,-0.29,24.22,return,backhand,3,0,0,Nadal
65,71,Djokovic,first,8.25,16.67,topspin,forehand,4.03,1.59,-1.22,26.82,topspin,backhand,4,0,0,Djokovic
66,72,Djokovic,first,1.24,16.18,topspin,backhand,5.66,-1.98,-1.38,25.49,return,backhand,3,0,0,Nadal
67,73,Djokovic,second,5.42,16.51,topspin,forehand,1.89,3.99,7.15,28.08,slice,forehand,7,0,0,Djokovic
68,74,Djokovic,first,0.93,15.94,topspin,forehand,1.22,0.68,2.44,27.19,topspin,backhand,14,0,0,Djokovic
69,75,Djokovic,first,4.94,16.1,topspin,backhand,0.86,-0.19,7.69,28.47,topspin,forehand,11,0,0,Nadal
70,76,Djokovic,first,1.63,17.52,topspin,forehand,7.52,5.6,3.71,28.74,slice,backhand,7,0,0,Djokovic
71,77,Djokovic,first,5.2,16.59,topspin,forehand,1.36,-0.94,9.23,26.33,topspin,forehand,8,0,0,Nadal
72,78,Djokovic,second,1.4,15.77,topspin,forehand,3.01,-0.84,8.28,25.61,topspin,forehand,8,0,0,Djokovic
73,79,Djokovic,first,4.86,15.46,topspin,backhand,0.63,0.47,3.19,25.61,slice,backhand,10,1,0,Djokovic
74,80,Nadal,second,7.45,6.54,stop,forehand,8.87,21.14,2.69,-0.55,topspin,backhand,7,0,0,Nadal
75,82,Nadal,first,7.71,7.0,slice,forehand,5.4,27.95,2.75,0.26,topspin,forehand,14,0,0,Djokovic
76,83,Nadal,first,4.86,6.49,topspin,backhand,3.08,26.82,8.53,0.5,topspin,forehand,8,0,0,Djokovic
77,84,Nadal,first,5.65,5.89,topspin,backhand,3.65,23.89,1.72,-0.12,topspin,backhand,7,0,1,Djokovic
81,89,Nadal,second,4.38,17.18,slice,backhand,8.36,5.99,6.52,20.45,stop,backhand,7,0,0,Nadal
82,90,Nadal,first,7.73,16.1,stop,backhand,7.73,7.26,7.82,15.77,slice,backhand,12,0,0,Djokovic
83,91,Nadal,first,0.89,17.09,serve,forehand,5.42,-0.29,-0.73,25.26,return,forehand,2,0,0,Nadal
84,92,Nadal,second,7.25,16.1,topspin,forehand,4.24,1.98,6.59,17.26,volley,backhand,11,0,0,Djokovic
85,93,Nadal,first,3.67,16.76,volley,forehand,4.84,5.99,7.06,26.69,topspin,backhand,7,0,0,Nadal
86,94,Nadal,first,8.57,16.67,serve,forehand,4.04,-0.39,10.45,24.68,return,backhand,2,1,0,Nadal
87,95,Djokovic,second,2.74,17.52,topspin,backhand,4.55,-0.15,8.12,24.45,topspin,forehand,4,0,0,Djokovic
88,96,Djokovic,second,5.51,17.35,topspin,backhand,3.19,-0.25,4.12,26.94,topspin,backhand,4,0,0,Djokovic
89,97,Djokovic,second,4.19,16.51,serve,forehand,5.95,-0.29,2.57,24.79,return,forehand,2,0,0,Djokovic
90,98,Djokovic,second,8.41,17.26,serve,forehand,4.44,-0.29,9.17,23.77,return,forehand,2,1,0,Djokovic
91,99,Nadal,first,5.04,5.22,serve,forehand,4.07,23.77,5.0,-1.22,slice,backhand,2,0,0,Nadal
92,100,Nadal,second,4.78,4.26,serve,forehand,6.39,12.58,2.23,-0.65,return,forehand,2,0,0,Djokovic
93,102,Nadal,first,2.13,7.91,topspin,forehand,9.42,23.23,-0.06,-1.1,topspin,backhand,11,0,0,Djokovic
94,103,Nadal,second,6.25,6.34,topspin,backhand,3.43,25.97,8.71,-1.25,slice,forehand,16,0,0,Nadal
95,104,Nadal,first,1.74,7.05,slice,forehand,6.5,17.78,2.38,0.93,stop,backhand,11,0,1,Djokovic
96,105,Djokovic,first,8.19,6.79,topspin,forehand,7.28,22.58,7.13,-0.29,topspin,backhand,8,0,0,Nadal
97,106,Djokovic,first,2.04,10.23,topspin,forehand,6.65,24.45,-0.56,1.07,return,forehand,3,0,0,Djokovic
98,107,Djokovic,first,8.2,8.13,serve,forehand,3.26,25.61,10.8,-0.94,return,backhand,2,0,0,Djokovic
99,109,Djokovic,first,8.14,6.14,topspin,backhand,7.62,27.83,4.6,-0.19,topspin,forehand,11,0,0,Djokovic
100,110,Nadal,first,4.0,17.52,topspin,forehand,2.04,0.5,3.17,26.09,return,backhand,3,0,0,Nadal
102,112,Nadal,first,1.27,16.42,serve,forehand,5.43,-0.15,0.4,24.68,return,forehand,2,0,0,Nadal
103,114,Nadal,second,0.97,17.18,volley,backhand,6.99,6.54,8.37,24.45,slice,backhand,5,1,0,Nadal
104,115,Djokovic,first,3.5,17.87,topspin,forehand,1.6,-0.84,7.09,24.68,stop,forehand,16,0,0,Djokovic
105,116,Djokovic,first,4.91,16.92,topspin,backhand,1.13,-0.25,8.47,25.61,topspin,forehand,7,0,0,Nadal
106,117,Djokovic,first,0.95,16.84,topspin,backhand,2.87,5.99,7.92,24.45,topspin,forehand,4,0,0,Djokovic
107,118,Djokovic,first,5.28,16.1,topspin,backhand,2.34,-0.65,6.71,26.09,topspin,forehand,11,0,0,Nadal
108,119,Djokovic,first,1.3,16.26,topspin,forehand,5.62,-0.94,-1.16,25.02,return,backhand,3,0,0,Nadal
109,120,Djokovic,first,5.07,16.76,topspin,forehand,6.26,-1.86,2.55,23.23,topspin,backhand,9,0,0,Djokovic
110,122,Djokovic,first,8.07,17.18,topspin,forehand,3.23,2.21,9.35,26.21,return,forehand,3,0,0,Djokovic
111,123,Nadal,first,6.08,6.19,topspin,forehand,5.77,24.22,2.98,-0.45,topspin,backhand,4,0,0,Djokovic
113,125,Nadal,second,7.9,6.95,serve,forehand,4.14,24.45,8.48,0.19,topspin,forehand,2,0,0,Nadal
114,126,Nadal,first,4.58,7.0,serve,forehand,5.38,24.68,3.69,0.02,return,forehand,2,0,0,Nadal
115,127,Nadal,second,5.6,7.42,serve,forehand,4.25,24.91,6.36,0.58,return,backhand,2,1,0,Nadal
116,128,Djokovic,second,7.69,7.11,topspin,forehand,4.92,26.69,10.35,-2.04,return,backhand,3,0,0,Nadal
117,129,Djokovic,first,4.46,8.55,smash,forehand,5.15,15.62,9.75,-1.22,lob,backhand,7,0,0,Djokovic
118,130,Djokovic,first,4.65,6.74,serve,forehand,2.67,23.23,6.4,-1.22,return,forehand,2,0,0,Djokovic
119,131,Djokovic,first,4.65,8.86,slice,forehand,-0.29,29.27,8.03,0.61,topspin,backhand,7,0,0,Nadal
120,132,Djokovic,first,4.43,6.95,topspin,forehand,5.84,25.14,1.16,-1.16,topspin,forehand,4,0,0,Djokovic
121,133,Djokovic,first,4.82,8.29,topspin,backhand,8.6,26.09,7.25,1.33,topspin,forehand,17,0,0,Nadal
122,134,Djokovic,first,8.1,7.16,serve,forehand,2.74,24.68,10.8,-0.91,topspin,backhand,2,0,0,Djokovic
123,135,Djokovic,first,6.08,7.85,volley,backhand,6.67,21.04,2.58,0.12,topspin,forehand,7,1,0,Djokovic
124,136,Nadal,first,4.41,16.42,serve,forehand,5.94,-0.12,3.41,25.84,return,backhand,2,0,0,Nadal
125,137,Nadal,first,5.89,16.42,slice,backhand,7.75,-2.1,6.3,22.9,topspin,forehand,6,0,0,Djokovic
126,138,Nadal,first,2.38,17.43,slice,backhand,7.72,-0.84,8.94,25.84,topspin,backhand,9,0,0,Djokovic
127,139,Nadal,first,8.29,15.88,topspin,forehand,4.07,-0.01,4.23,26.35,topspin,forehand,4,0,0,Djokovic
128,140,Nadal,first,3.21,16.24,topspin,backhand,7.01,-1.4,4.57,25.07,topspin,backhand,12,0,0,Nadal
129,141,Nadal,second,6.49,16.64,topspin,backhand,7.52,-1.69,2.23,25.19,topspin,forehand,5,0,1,Djokovic
